current_company,target_company,years_of_experience,current_salary,expected_salary,gender,location,current_role,sector,education,certifications,skills,current_company_tier,target_company_tier
amazon,ibm,12.5,1455772,2127732,Male,Gurgaon,Machine Learning Engineer,IT,Bachelor,AWS Cloud Practitioner,Lambda Functions,1,2
infosys,apple,12.7,2660870,4055628,Female,Chennai,Release Manager,IT,PhD,Microsoft Certified: Azure Security Engineer Associate,Information Security,3,1
hexaware,deloitte,2.2,3050276,4741428,Male,Hyderabad,Scrum Master,IT,Master,Certified Kubernetes Administrator (CKA),Node.js,4,2
wipro,oracle,7.6,2013388,2702257,Male,Hyderabad,AI Researcher,IT,Bachelor,Cisco Certified Internetwork Expert (CCIE),Artificial Intelligence,3,2
infosys,hexaware,11.5,2727657,3516390,Female,Pune,Software Architect,IT,Master,CompTIA CySA+,Computer Vision,3,4
wipro,tcs,10.1,2644509,3656260,Female,Gurgaon,Product Manager,IT,PhD,Certified Kubernetes Application Developer (CKAD),Smart Contracts,3,3
amazon,salesforce,5.2,2945691,4507243,Male,Noida,Database Administrator,IT,Master,AWS Certified SysOps Administrator - Associate,Security Testing,1,1
oracle,meta,6.7,3078926,4623859,Male,Kolkata,Project Manager,IT,Master,Certified Cloud Security Professional (CCSP),ElasticSearch,2,1
meta,zensar,7.3,2041758,2990211,Female,Noida,Release Manager,IT,PhD,Oracle Database Administrator Certified Professional,Computer Vision,1,4
uber,happiest-minds,12.0,2794152,3775674,Female,Mumbai,Tech Lead,IT,Bachelor,Microsoft Certified: Azure DevOps Engineer Expert,AWS,1,5
accenture,happiest-minds,14.0,2843541,4515580,Male,Bangalore,Tech Lead,IT,Master,Certified Information Systems Security Professional (CISSP),Kubernetes,2,5
sap,accenture,8.5,2432639,3419836,Male,Gurgaon,Solution Architect,IT,PhD,Cisco Certified Network Professional (CCNP),Message Queues,2,2
amazon,hexaware,12.8,1893863,2537910,Male,Gurgaon,Business Intelligence Analyst,IT,Master,CompTIA A+,Database Management,1,4
meta,accenture,5.0,1321142,1754416,Female,Gurgaon,Quality Assurance Lead,IT,PhD,Google Cloud Professional Data Engineer,React,1,2
sap,zensar,12.0,2893857,4324070,Male,Hyderabad,Data Analyst,IT,Master,Salesforce Certified Platform Developer,CI/CD,2,4
ibm,meta,9.5,3274200,5043696,Male,Mumbai,Business Analyst,IT,Bachelor,AWS Certified Developer - Associate,Git,2,1
accenture,infosys,10.0,1260728,1831647,Female,Hyderabad,QA Engineer,IT,PhD,Red Hat Certified Engineer (RHCE),Performance Testing,2,3
happiest-minds,zensar,5.0,840369,1189931,Male,Noida,Solution Architect,IT,Bachelor,AWS Certified DevOps Engineer - Professional,ElasticSearch,5,4
hexaware,google,6.5,3055563,3909477,Female,Noida,UX/UI Designer,IT,PhD,ITIL Expert,Java,4,1
hexaware,apple,14.4,1018841,1373010,Female,Hyderabad,Software Developer,IT,PhD,Cisco Certified Network Professional (CCNP),REST APIs,4,1
virtusa,meta,8.0,2889986,4042336,Male,Noida,Scrum Master,IT,PhD,CompTIA CySA+,Jenkins,4,1
hexaware,deloitte,12.2,1706480,2475692,Male,Noida,Senior Developer,IT,PhD,AWS Certified Developer - Associate,Data Engineering,4,2
hcl,adobe,2.2,2753943,3738680,Male,Hyderabad,Solution Architect,IT,Bachelor,Certificate of Cloud Security Knowledge (CCSK),Message Queues,3,1
ibm,amazon,9.8,1530737,2108064,Male,Pune,Software Developer,IT,Bachelor,CompTIA Security+,Cybersecurity,2,1
netflix,sap,3.0,1237030,1966970,Female,Noida,Software Developer,IT,Bachelor,AWS Certified Security - Specialty,Smart Contracts,1,2
virtusa,uber,9.5,1799768,2399512,Male,Chennai,Security Engineer,IT,Bachelor,Google Cloud Associate Cloud Engineer,OAuth,4,1
infosys,cts,2.2,2263645,3202266,Female,Delhi,Business Analyst,IT,Master,AWS Cloud Practitioner,GitLab CI,3,3
infosys,microsoft,14.8,1351950,1845719,Male,Hyderabad,AI Researcher,IT,Master,None,Vue.js,3,1
meta,accenture,6.4,2708782,4201619,Male,Bangalore,Data Scientist,IT,PhD,Microsoft Certified: Azure Fundamentals,JavaScript,1,2
meta,netflix,12.5,1393274,1740043,Female,Mumbai,Site Reliability Engineer,IT,Bachelor,AWS Certified Solutions Architect - Professional,Node.js,1,1
cts,sap,1.6,2797599,3861495,Female,Mumbai,System Administrator,IT,Master,AWS Certified Solutions Architect - Associate,ElasticSearch,3,2
hcl,apple,2.1,2612733,3397635,Male,Chennai,Blockchain Developer,IT,Bachelor,AWS Certified Machine Learning - Specialty,Information Security,3,1
virtusa,valuelabs,8.8,2619600,3186099,Male,Gurgaon,Tech Lead,IT,Bachelor,CompTIA Network+,Spring Boot,4,5
wipro,meta,13.0,1653965,2095645,Male,Hyderabad,Machine Learning Engineer,IT,Bachelor,Microsoft Certified: Azure Administrator Associate,Big Data,3,1
infosys,valuelabs,1.8,2482845,3094283,Male,Kolkata,Tech Lead,IT,Master,Microsoft Certified: Azure Data Scientist Associate,Full Stack Development,3,5
adobe,deloitte,13.3,1290790,2056512,Female,Pune,Senior Developer,IT,Master,Project Management Professional (PMP),Blockchain,1,2
tcs,accenture,9.9,1406957,1961572,Male,Kolkata,UX/UI Designer,IT,Master,Red Hat Certified Engineer (RHCE),Cloud Security,3,2
infosys,coforge,10.5,1183277,1671737,Male,Mumbai,Full Stack Developer,IT,Master,Oracle Database Administrator Certified Professional,Apache Spark,3,5
infosys,ibm,10.3,2405632,3474860,Male,Kolkata,AI Researcher,IT,Bachelor,Certified Kubernetes Administrator (CKA),Microsoft Azure,3,2
coforge,virtusa,3.3,860306,1044820,Male,Bangalore,Tech Lead,IT,PhD,AWS Certified Security - Specialty,Message Queues,5,4
deloitte,cts,6.7,964613,1370405,Male,Hyderabad,Machine Learning Engineer,IT,PhD,Google Cloud Professional DevOps Engineer,Node.js,2,3
apple,deloitte,7.8,2202653,3441035,Male,Delhi,Tech Lead,IT,PhD,Microsoft Certified: Azure Fundamentals,Cloud Security,1,2
cts,amazon,2.7,1746950,2321795,Male,Gurgaon,Senior Developer,IT,PhD,Red Hat Certified Engineer (RHCE),Kubernetes,3,1
valuelabs,oracle,6.6,1385792,1864772,Male,Delhi,Database Administrator,IT,PhD,Microsoft Certified: Azure DevOps Engineer Expert,Data Science,5,2
coforge,amazon,10.6,1066343,1526426,Male,Delhi,Scrum Master,IT,Bachelor,Cisco Certified Internetwork Expert (CCIE),CI/CD,5,1
deloitte,linkedin,9.5,2063876,3158826,Male,Chennai,Software Developer,IT,PhD,CompTIA CySA+,OAuth,2,1
ibm,google,5.2,930664,1413243,Male,Hyderabad,Cloud Architect,IT,Master,Google Cloud Professional Data Engineer,MongoDB,2,1
hcl,salesforce,6.2,1764998,2167458,Female,Kolkata,Data Analyst,IT,Master,Project Management Professional (PMP),React,3,1
uber,valuelabs,10.3,2264492,3309436,Male,Delhi,Business Analyst,IT,Bachelor,AWS Certified Security - Specialty,GitHub Actions,1,5
infosys,uber,3.2,2423104,3627994,Male,Kolkata,UX/UI Designer,IT,Bachelor,Certified Kubernetes Application Developer (CKAD),Smart Contracts,3,1
wipro,zensar,14.4,2438841,3640764,Male,Gurgaon,Product Manager,IT,PhD,None,Vue.js,3,4
hexaware,zensar,7.1,1606896,2289859,Female,Delhi,Database Administrator,IT,Bachelor,Project Management Professional (PMP),MySQL,4,4
wipro,apple,14.3,1785540,2812346,Female,Noida,Project Manager,IT,Master,AWS Certified Machine Learning - Specialty,DevOps,3,1
microsoft,hexaware,1.0,812346,1214838,Male,Pune,Full Stack Developer,IT,Bachelor,Docker Certified Associate (DCA),Information Security,1,4
amazon,coforge,7.3,2071497,2552471,Female,Kolkata,Business Analyst,IT,PhD,AWS Certified Machine Learning - Specialty,SQL,1,5
sap,hexaware,6.5,1200337,1800936,Male,Kolkata,Network Engineer,IT,PhD,ITIL Foundation,Big Data,2,4
microsoft,infosys,1.4,1195336,1582496,Male,Hyderabad,Full Stack Developer,IT,PhD,Microsoft Certified: Azure DevOps Engineer Expert,Git,1,3
infosys,deloitte,1.1,1608466,2076726,Female,Kolkata,Performance Engineer,IT,Bachelor,Microsoft Certified: Azure AI Engineer Associate,ElasticSearch,3,2
coforge,google,11.8,1346952,2019675,Male,Mumbai,Network Engineer,IT,Bachelor,CompTIA CySA+,Cloud Security,5,1
happiest-minds,coforge,8.5,838353,1180524,Male,Mumbai,Business Analyst,IT,Bachelor,CompTIA CySA+,Identity Management,5,5
virtusa,coforge,1.8,2970914,4146844,Female,Bangalore,Software Developer,IT,Bachelor,Microsoft Certified: Azure DevOps Engineer Expert,Load Testing,4,5
uber,virtusa,1.8,506011,635294,Female,Kolkata,Mobile App Developer,IT,Master,AWS Certified Solutions Architect - Associate,Spring Boot,1,4
ibm,microsoft,1.5,1672438,2665020,Female,Noida,System Administrator,IT,Bachelor,CompTIA CySA+,Docker,2,1
apple,happiest-minds,9.0,2867024,3541161,Female,Kolkata,Network Engineer,IT,Master,TensorFlow Developer Certificate,TypeScript,1,5
netflix,infosys,1.8,1879178,2329676,Male,Kolkata,System Administrator,IT,Bachelor,TensorFlow Developer Certificate,Angular,1,3
microsoft,hexaware,2.2,1243299,1848301,Male,Mumbai,Site Reliability Engineer,IT,Master,Cisco Certified Internetwork Expert (CCIE),Data Science,1,4
amazon,deloitte,13.0,1745355,2140355,Male,Noida,Infrastructure Engineer,IT,Master,Certified Information Systems Auditor (CISA),Information Security,1,2
google,cts,8.3,1136591,1682771,Male,Bangalore,Tech Lead,IT,PhD,AWS Certified Machine Learning - Specialty,Security Testing,1,3
amazon,salesforce,10.5,1530562,2399153,Male,Mumbai,Site Reliability Engineer,IT,Bachelor,Google Cloud Professional DevOps Engineer,Integration Testing,1,1
adobe,oracle,5.0,797199,1017995,Male,Bangalore,Data Engineer,IT,Bachelor,Certified Information Security Manager (CISM),GitLab CI,1,2
uber,netflix,13.6,2915059,3783341,Male,Chennai,Infrastructure Engineer,IT,Bachelor,CompTIA Cloud+,Project Management,1,1
oracle,meta,4.4,1399476,2238796,Male,Noida,System Administrator,IT,Master,Microsoft Certified: Azure Fundamentals,Data Engineering,2,1
amazon,deloitte,9.4,801362,1074709,Female,Noida,Technical Lead,IT,Master,ITIL Foundation,Cryptocurrency,1,2
infosys,netflix,12.5,1592045,1937418,Male,Chennai,Security Engineer,IT,Master,Google Cloud Professional Cloud Architect,Agile,3,1
zensar,valuelabs,11.7,1948982,2402069,Male,Noida,Product Manager,IT,Master,Google Cloud Professional Cloud Architect,Single Sign-On,4,5
virtusa,adobe,13.2,2367935,2941387,Male,Pune,Network Engineer,IT,Bachelor,Google Cloud Associate Cloud Engineer,GitHub Actions,4,1
virtusa,hcl,6.5,1590012,2377348,Male,Gurgaon,AI Researcher,IT,Master,Project Management Professional (PMP),Apache Spark,4,3
accenture,ibm,2.6,2211974,3338188,Male,Kolkata,Cloud Engineer,IT,Master,TensorFlow Developer Certificate,Microservices,2,2
microsoft,tcs,3.4,2604359,3972988,Male,Gurgaon,Data Scientist,IT,PhD,Microsoft Certified: Azure Data Scientist Associate,Cryptocurrency,1,3
happiest-minds,salesforce,13.4,3191807,5012164,Female,Mumbai,Machine Learning Engineer,IT,Master,Certified Cloud Security Professional (CCSP),Vue.js,5,1
coforge,amazon,10.2,1866026,2550924,Female,Chennai,Network Engineer,IT,Bachelor,Oracle Database Administrator Certified Professional,NoSQL,5,1
sap,zensar,9.1,2242644,2899064,Male,Gurgaon,Business Analyst,IT,Master,Project Management Professional (PMP),Spring Boot,2,4
netflix,deloitte,8.8,2606109,3908899,Male,Kolkata,Senior Developer,IT,Bachelor,Microsoft Certified: Azure Solutions Architect Expert,Scrum,1,2
virtusa,happiest-minds,2.1,2325742,3712046,Female,Kolkata,Performance Engineer,IT,Bachelor,Microsoft Certified: Azure AI Engineer Associate,Cryptocurrency,4,5
hcl,salesforce,12.7,3331543,4512139,Male,Hyderabad,Tech Lead,IT,PhD,Google Cloud Professional DevOps Engineer,Scrum,3,1
wipro,tcs,9.9,3023724,3691050,Male,Noida,Security Engineer,IT,Master,AWS Certified Machine Learning - Specialty,Event-Driven Architecture,3,3
sap,ibm,13.5,2226153,2681666,Male,Pune,UX/UI Designer,IT,Bachelor,AWS Certified DevOps Engineer - Professional,SAML,2,2
salesforce,amazon,1.1,1723908,2217883,Female,Delhi,QA Engineer,IT,Master,CompTIA Cloud+,TypeScript,1,1
linkedin,happiest-minds,6.4,2628332,3697994,Male,Chennai,Tech Lead,IT,Master,AWS Certified Solutions Architect - Professional,OAuth,1,5
accenture,sap,13.5,2443982,3590654,Male,Chennai,Business Analyst,IT,Bachelor,AWS Cloud Practitioner,JavaScript,2,2
infosys,apple,1.9,1446018,1978132,Female,Bangalore,Cloud Architect,IT,PhD,CompTIA CySA+,Angular,3,1
zensar,virtusa,7.8,1630762,2440265,Male,Gurgaon,Senior Developer,IT,Master,Google Cloud Professional DevOps Engineer,Jenkins,4,4
cts,apple,10.2,2707513,3865324,Female,Noida,Software Architect,IT,Master,ITIL Expert,FastAPI,3,1
salesforce,infosys,5.3,2955459,3909991,Male,Noida,System Administrator,IT,Master,Microsoft Certified: Azure Data Engineer Associate,Terraform,1,3
google,apple,2.3,1984587,2615460,Female,Mumbai,Scrum Master,IT,PhD,AWS Certified DevOps Engineer - Professional,Security Testing,1,1
oracle,hexaware,5.4,685892,1097360,Female,Kolkata,Software Developer,IT,PhD,AWS Certified Data Analytics - Specialty,GitHub Actions,2,4
sap,cts,7.8,2667339,3711663,Female,Gurgaon,Project Manager,IT,PhD,Certified Cloud Security Professional (CCSP),Single Sign-On,2,3
cts,microsoft,13.9,3346900,5022046,Female,Kolkata,Business Intelligence Analyst,IT,PhD,Salesforce Certified Administrator,GraphQL,3,1
zensar,cts,7.4,1220507,1694005,Male,Hyderabad,Site Reliability Engineer,IT,PhD,CompTIA Security+,Data Engineering,4,3
hcl,netflix,4.6,1485686,1902158,Male,Mumbai,QA Engineer,IT,Bachelor,Red Hat Certified Engineer (RHCE),Microservices,3,1
infosys,ibm,5.6,1080024,1715423,Male,Gurgaon,Product Manager,IT,PhD,Google Cloud Professional DevOps Engineer,Code Review,3,2
accenture,adobe,11.5,2098402,3258604,Male,Pune,Release Manager,IT,Master,Certified Kubernetes Security Specialist (CKS),Terraform,2,1
cts,deloitte,10.2,822381,1102134,Female,Chennai,Mobile App Developer,IT,Bachelor,Cisco Certified Internetwork Expert (CCIE),Machine Learning,3,2
happiest-minds,google,2.9,1759846,2637797,Male,Gurgaon,Project Manager,IT,Master,SAFe Agilist Certification,Machine Learning,5,1
cts,deloitte,2.4,1945204,2811355,Female,Bangalore,UX/UI Designer,IT,Bachelor,Oracle MySQL Database Administration,Computer Vision,3,2
accenture,hexaware,12.2,3335318,4940207,Female,Noida,Software Architect,IT,Master,Microsoft Certified: Azure AI Engineer Associate,Apache Spark,2,4
accenture,oracle,6.7,2574835,3294365,Female,Pune,Product Manager,IT,PhD,TensorFlow Developer Certificate,Natural Language Processing,2,2
infosys,accenture,2.5,1631340,2333453,Female,Chennai,Project Manager,IT,PhD,AWS Certified SysOps Administrator - Associate,Node.js,3,2
oracle,amazon,13.8,1948972,2578693,Male,Noida,Tech Lead,IT,Master,Certified Information Systems Auditor (CISA),Scrum,2,1
hexaware,linkedin,1.2,2379072,3615132,Male,Gurgaon,Data Scientist,IT,PhD,Certified Cloud Security Professional (CCSP),Full Stack Development,4,1
meta,linkedin,7.2,2713620,3277482,Female,Hyderabad,Cybersecurity Specialist,IT,Master,Oracle MySQL Database Administration,GitHub Actions,1,1
salesforce,microsoft,6.2,838575,1192696,Male,Delhi,Solution Architect,IT,PhD,Microsoft Certified: Azure Administrator Associate,Scrum,1,1
cts,hexaware,4.5,1980382,2722296,Female,Chennai,Data Scientist,IT,PhD,TensorFlow Developer Certificate,Django,3,4
coforge,apple,13.1,1222549,1657527,Female,Hyderabad,Full Stack Developer,IT,PhD,Certified Kubernetes Application Developer (CKAD),Deep Learning,5,1
amazon,meta,1.1,466333,640259,Female,Bangalore,Senior Developer,IT,Bachelor,Microsoft Certified: Azure AI Engineer Associate,Java,1,1
google,hexaware,6.6,2100135,3095971,Male,Noida,Machine Learning Engineer,IT,PhD,Certified Cloud Security Professional (CCSP),Terraform,1,4
salesforce,oracle,3.4,1326986,1678899,Male,Pune,Cybersecurity Specialist,IT,PhD,Google Cloud Professional Data Engineer,Hadoop,1,2
valuelabs,cts,4.4,2086394,2677943,Other,Gurgaon,AI Researcher,IT,Master,Certified Cloud Security Professional (CCSP),React,5,3
amazon,happiest-minds,7.8,1601633,2104544,Female,Hyderabad,Infrastructure Engineer,IT,PhD,Certified Information Systems Security Professional (CISSP),JavaScript,1,5
adobe,hcl,12.2,2060124,3062776,Female,Mumbai,Product Manager,IT,Bachelor,AWS Certified Solutions Architect - Professional,MongoDB,1,3
amazon,netflix,11.6,3457250,5123120,Male,Chennai,Project Manager,IT,Master,Certified Scrum Master (CSM),Power BI,1,1
wipro,netflix,12.9,1018702,1508812,Male,Bangalore,Database Administrator,IT,Bachelor,Google Cloud Professional Machine Learning Engineer,Code Review,3,1
hexaware,oracle,4.8,905858,1398877,Male,Kolkata,Business Intelligence Analyst,IT,Bachelor,AWS Cloud Practitioner,DevOps,4,2
wipro,apple,11.5,1210694,1781708,Male,Gurgaon,Software Developer,IT,PhD,SAFe Agilist Certification,Cloud Security,3,1
linkedin,infosys,14.0,2034917,2637086,Male,Gurgaon,DevOps Engineer,IT,PhD,Google Cloud Professional Machine Learning Engineer,GraphQL,1,3
happiest-minds,oracle,5.3,1319252,1713990,Female,Hyderabad,Business Analyst,IT,Master,Certified Ethical Hacker (CEH),GitHub Actions,5,2
hcl,uber,13.5,2996810,4188054,Female,Gurgaon,Security Engineer,IT,Bachelor,Microsoft Certified: Azure Fundamentals,Smart Contracts,3,1
netflix,coforge,5.3,837288,1157846,Male,Gurgaon,Cloud Engineer,IT,Master,Certified Scrum Master (CSM),Data Visualization,1,5
amazon,oracle,11.4,872283,1136736,Male,Gurgaon,Database Administrator,IT,Master,Microsoft Certified: Azure AI Engineer Associate,GraphQL,1,2
coforge,accenture,2.2,1204638,1829003,Male,Pune,Data Engineer,IT,PhD,Cisco Certified Network Professional (CCNP),PostgreSQL,5,2
valuelabs,happiest-minds,4.9,2192263,2673641,Male,Kolkata,Cloud Engineer,IT,PhD,Google Cloud Professional DevOps Engineer,Serverless Architecture,5,5
hcl,apple,1.1,1474038,1815731,Male,Delhi,Cybersecurity Specialist,IT,PhD,Salesforce Certified Administrator,Natural Language Processing,3,1
google,salesforce,5.8,2364692,3304600,Male,Delhi,Release Manager,IT,PhD,AWS Certified SysOps Administrator - Associate,GitHub Actions,1,1
tcs,cts,3.0,2165780,2928983,Male,Pune,Software Architect,IT,Master,Salesforce Certified Administrator,Database Management,3,3
microsoft,oracle,10.6,2287404,3141334,Male,Mumbai,Data Engineer,IT,Master,Certified Scrum Master (CSM),ElasticSearch,1,2
virtusa,hcl,3.9,1172598,1610250,Male,Hyderabad,Cloud Architect,IT,Bachelor,Certified Kubernetes Security Specialist (CKS),FastAPI,4,3
linkedin,microsoft,5.4,779882,1012775,Female,Noida,UX/UI Designer,IT,Master,Microsoft Certified: Azure Fundamentals,Test Automation,1,1
google,accenture,11.1,3345798,5263995,Male,Delhi,Database Administrator,IT,PhD,Salesforce Certified Administrator,Unit Testing,1,2
deloitte,sap,5.5,2102912,2608316,Female,Bangalore,Cloud Architect,IT,PhD,Microsoft Certified: Azure AI Engineer Associate,Cryptocurrency,2,2
sap,google,7.3,2842407,4142785,Male,Bangalore,Scrum Master,IT,PhD,Cisco Certified Network Associate (CCNA),Data Visualization,2,1
oracle,google,5.1,2532744,3703240,Male,Gurgaon,Network Engineer,IT,PhD,AWS Certified Security - Specialty,Git,2,1
hexaware,netflix,5.8,1524881,2392886,Female,Bangalore,Data Engineer,IT,Master,AWS Certified SysOps Administrator - Associate,GraphQL,4,1
sap,hcl,5.1,2271081,2984463,Male,Kolkata,Platform Engineer,IT,PhD,Cisco Certified Internetwork Expert (CCIE),Artificial Intelligence,2,3
virtusa,happiest-minds,10.5,1652098,2280256,Male,Hyderabad,Data Scientist,IT,Bachelor,Professional Scrum Master (PSM),Penetration Testing,4,5
google,amazon,8.3,1145928,1770836,Female,Pune,Full Stack Developer,IT,PhD,Cisco Certified Network Professional (CCNP),SAML,1,1
zensar,adobe,6.3,1964477,2445696,Female,Noida,Quality Assurance Lead,IT,PhD,Certified Information Security Manager (CISM),MLOps,4,1
adobe,hexaware,4.0,2896650,3990637,Male,Hyderabad,Platform Engineer,IT,PhD,Docker Certified Associate (DCA),Full Stack Development,1,4
zensar,sap,13.7,2376335,2934461,Male,Noida,UX/UI Designer,IT,Master,Google Cloud Professional Security Engineer,Microservices,4,2
amazon,meta,7.7,2008894,2954350,Female,Kolkata,Mobile App Developer,IT,Master,Oracle MySQL Database Administration,OAuth,1,1
cts,meta,14.8,1769020,2312243,Male,Hyderabad,QA Engineer,IT,PhD,AWS Cloud Practitioner,AWS,3,1
apple,netflix,2.3,935332,1419123,Male,Bangalore,Software Developer,IT,Bachelor,Google Cloud Associate Cloud Engineer,Full Stack Development,1,1
microsoft,infosys,5.9,1120910,1685096,Female,Pune,DevOps Engineer,IT,Master,SAFe Agilist Certification,Git,1,3
zensar,accenture,4.5,2307162,3563397,Male,Noida,Data Engineer,IT,PhD,Microsoft Certified: Azure Security Engineer Associate,Database Management,4,2
zensar,linkedin,11.5,3108006,4071667,Male,Chennai,AI Researcher,IT,PhD,AWS Certified DevOps Engineer - Professional,Docker,4,1
happiest-minds,cts,11.0,1374538,2090337,Female,Bangalore,Product Manager,IT,Master,Docker Certified Associate (DCA),Technical Writing,5,3
sap,ibm,10.6,2942627,4173342,Female,Mumbai,AI Researcher,IT,Bachelor,AWS Certified Solutions Architect - Associate,Hadoop,2,2
virtusa,coforge,8.3,2248125,3480429,Female,Bangalore,Database Administrator,IT,Bachelor,Cisco Certified Internetwork Expert (CCIE),Terraform,4,5
coforge,ibm,6.5,2893295,3949461,Male,Hyderabad,Release Manager,IT,Bachelor,Microsoft Certified: Azure Solutions Architect Expert,MongoDB,5,2
valuelabs,wipro,9.6,1528352,2247633,Male,Delhi,Site Reliability Engineer,IT,Master,Certified Information Security Manager (CISM),Apache Kafka,5,3
sap,cts,5.4,2757307,3401941,Male,Pune,Data Scientist,IT,Bachelor,Microsoft Certified: Azure AI Engineer Associate,Hadoop,2,3
happiest-minds,google,3.2,939090,1178095,Female,Gurgaon,Database Administrator,IT,PhD,Red Hat Certified Engineer (RHCE),Full Stack Development,5,1
coforge,uber,8.7,1897598,2927224,Male,Pune,Data Scientist,IT,Master,Docker Certified Associate (DCA),SQL,5,1
uber,sap,12.4,2183580,2648668,Female,Gurgaon,Tech Lead,IT,PhD,SAFe Agilist Certification,Full Stack Development,1,2
accenture,amazon,6.8,2184797,3266614,Female,Hyderabad,Machine Learning Engineer,IT,Bachelor,Microsoft Certified: Azure Security Engineer Associate,Single Sign-On,2,1
apple,infosys,10.9,2864017,3725721,Male,Gurgaon,Tech Lead,IT,Bachelor,Microsoft Certified: Azure DevOps Engineer Expert,Network Security,1,3
ibm,meta,6.8,1076761,1392460,Male,Bangalore,Project Manager,IT,PhD,AWS Certified Solutions Architect - Professional,GraphQL,2,1
google,oracle,6.4,3187403,4919876,Male,Kolkata,UX/UI Designer,IT,Bachelor,Red Hat Certified Engineer (RHCE),Data Visualization,1,2
linkedin,netflix,12.1,2494999,3036219,Male,Kolkata,Platform Engineer,IT,Master,Professional Scrum Master (PSM),Vulnerability Assessment,1,1
happiest-minds,salesforce,1.1,1619490,2327335,Male,Bangalore,Security Engineer,IT,Master,AWS Certified DevOps Engineer - Professional,GitHub Actions,5,1
accenture,sap,9.7,966794,1528577,Female,Hyderabad,Infrastructure Engineer,IT,Bachelor,Cisco Certified Network Professional (CCNP),Edge Computing,2,2
salesforce,meta,4.5,2484143,3066515,Female,Gurgaon,Tech Lead,IT,Master,Certified Information Systems Auditor (CISA),AWS,1,1
infosys,adobe,9.6,2761423,3996431,Male,Noida,Tech Lead,IT,PhD,AWS Certified SysOps Administrator - Associate,MLOps,3,1
virtusa,valuelabs,9.1,1560740,2127676,Female,Gurgaon,AI Researcher,IT,Bachelor,Certified Data Professional (CDP),Cloud Security,4,5
valuelabs,ibm,11.4,1084898,1655227,Female,Gurgaon,Technical Lead,IT,Bachelor,Google Cloud Professional Data Engineer,JavaScript,5,2
microsoft,tcs,12.8,1709986,2152042,Female,Kolkata,Software Developer,IT,PhD,Salesforce Certified Administrator,Flask,1,3
happiest-minds,meta,3.4,2819515,4485014,Male,Pune,Software Developer,IT,Bachelor,AWS Certified Data Analytics - Specialty,Unit Testing,5,1
